"dia_ocu","mes_ocu","ano_ocu","dia_sem_ocu","hora_ocu","depto_ocu","areag_ocu","sexo_pil","edad_pil","grupo_eda_pil","estado_pil","tipo_veh","color_veh","modelo_veh","causa_acc","zona_ocu","muni_ocu","mayor_men","marca_veh"
13,5,2009,3,"1","Quiche",2,2,70,"Ignorado",2,3,"Blanco","1988","Empotro",NA,NA,NA,NA
1,7,2009,1,"15","Jutiapa",1,3,1,"15-19",1,4,"Gris","Ignorado","Empotro",NA,NA,NA,NA
1,3,2009,7,"17","Peten",1,1,2,"15-19",1,4,"Ignorado","Ignorado","Caída",NA,NA,NA,NA
26,2,2009,4,"18","Jalapa",1,1,3,"15-19",9,1,"Rojo","Ignorado","Caída",NA,NA,NA,NA
1,3,2009,7,"15","Suchitepequez",2,1,3,"15-19",9,14,"Rojo","2007","Empotro",NA,NA,NA,NA
5,4,2009,7,"14","Izabal",2,1,3,"15-19",9,14,"Rojo","Ignorado","Caída",NA,NA,NA,NA
26,3,2009,4,"8","San Marcos",1,1,3,"15-19",1,3,"Verde","Ignorado","Empotro",NA,NA,NA,NA
27,6,2009,6,"11","Baja Verapaz",1,1,3,"15-19",1,3,"Rojo","Ignorado","Empotro",NA,NA,NA,NA
14,4,2009,2,"14","Baja Verapaz",1,1,3,"15-19",1,3,"Blanco","Ignorado","Vuelco",NA,NA,NA,NA
25,3,2009,3,"9","San Marcos",1,1,3,"15-19",1,3,"Azul","Ignorado","Caída",NA,NA,NA,NA
1,10,2009,4,"20","Quiche",1,1,3,"15-19",1,4,"Ignorado","Ignorado","Colisión",NA,NA,NA,NA
1,3,2009,7,"11","Peten",1,1,3,"15-19",1,4,"Ignorado","Ignorado","Caída",NA,NA,NA,NA
22,2,2009,7,"23","Guatemala",2,1,4,"15-19",9,1,"Rojo","Ignorado","Empotro",NA,NA,NA,NA
18,10,2009,7,"15","Chiquimula",1,3,4,"15-19",9,3,"Rojo","Ignorado","Caída",NA,NA,NA,NA
11,9,2009,5,"19","Quiche",2,3,4,"15-19",9,4,"Negro","2008","Colisión",NA,NA,NA,NA
15,8,2009,6,"20","Chiquimula",1,1,4,"15-19",9,4,"Rojo","Ignorado","Colisión",NA,NA,NA,NA
23,10,2009,5,"11","Huehuetenango",1,1,4,"15-19",9,4,"Ignorado","Ignorado","Colisión",NA,NA,NA,NA
28,12,2009,1,"16","Guatemala",2,1,4,"15-19",9,4,"Negro","Ignorado","Colisión",NA,NA,NA,NA
15,2,2009,7,"18","Quiche",2,1,4,"15-19",9,4,"Azul","Ignorado","Caída",NA,NA,NA,NA
27,9,2009,7,"14","Peten",1,1,4,"15-19",9,4,"Ignorado","Ignorado","Caída",NA,NA,NA,NA
23,2,2009,1,"20","Sacatepequez",1,1,4,"15-19",9,14,"Gris","Ignorado","Empotro",NA,NA,NA,NA
30,8,2009,7,"21","Chimaltenango",2,1,4,"15-19",2,1,"Rojo","Ignorado","Colisión",NA,NA,NA,NA
19,12,2009,6,"23","Guatemala",2,1,4,"15-19",2,4,"Negro","Ignorado","Colisión",NA,NA,NA,NA
20,7,2009,1,"16","Jutiapa",1,1,4,"15-19",2,4,"Negro","2007","Caída",NA,NA,NA,NA
9,1,2009,5,"10","Santa Rosa",2,1,4,"15-19",1,2,"Blanco","1988","Colisión",NA,NA,NA,NA
20,6,2009,6,"17","Suchitepequez",1,1,4,"15-19",1,2,"Blanco","Ignorado","Colisión",NA,NA,NA,NA
29,1,2009,4,"13","San Marcos",1,1,4,"15-19",1,3,"Ignorado","1984","Colisión",NA,NA,NA,NA
15,4,2009,3,"9","Huehuetenango",1,1,4,"15-19",1,9,"Blanco","2007","Colisión",NA,NA,NA,NA
12,7,2009,7,"11","San Marcos",2,1,4,"15-19",1,9,"Blanco","2007","Colisión",NA,NA,NA,NA
28,1,2009,3,"20","Guatemala",2,1,4,"15-19",1,12,"Rojo","1990","Empotro",NA,NA,NA,NA
5,4,2009,7,"3","Guatemala",1,1,5,"15-19",9,1,"Blanco","Ignorado","Empotro",NA,NA,NA,NA
25,12,2009,5,"23","Escuintla",1,3,5,"15-19",9,1,"Beige","Ignorado","Empotro",NA,NA,NA,NA
22,3,2009,7,"19","Jutiapa",1,1,5,"15-19",9,1,"Azul","Ignorado","Vuelco",NA,NA,NA,NA
6,4,2009,1,"0","Chiquimula",1,1,5,"15-19",9,3,"Blanco","Ignorado","Caída",NA,NA,NA,NA
19,4,2009,7,"0","Zacapa",2,1,5,"15-19",9,4,"Negro","1991","Colisión",NA,NA,NA,NA
6,11,2009,5,"18","Guatemala",2,1,5,"15-19",9,4,"Azul","2008","Colisión",NA,NA,NA,NA
16,4,2009,4,"0","Huehuetenango",1,1,5,"15-19",9,4,"Rojo","Ignorado","Colisión",NA,NA,NA,NA
23,10,2009,5,"23","Peten",2,1,5,"15-19",9,4,"Corinto","Ignorado","Colisión",NA,NA,NA,NA
17,8,2009,1,"10","Baja Verapaz",1,1,5,"15-19",9,4,"Negro","Ignorado","Empotro",NA,NA,NA,NA
5,3,2009,4,"4","Jalapa",1,1,5,"15-19",9,4,"Anaranjado","Ignorado","Caída",NA,NA,NA,NA
9,3,2009,1,"22","Suchitepequez",1,1,5,"15-19",9,4,"Rojo","Ignorado","Caída",NA,NA,NA,NA
11,4,2009,6,"17","Santa Rosa",1,1,5,"15-19",9,4,"Ignorado","Ignorado","Caída",NA,NA,NA,NA
28,8,2009,5,"8","Suchitepequez",2,1,5,"15-19",9,4,"Gris","Ignorado","Caída",NA,NA,NA,NA
17,12,2009,4,"14","Quiche",1,1,5,"Menos de 15",9,5,"Blanco","Ignorado","Vuelco",NA,NA,NA,NA
2,9,2009,3,"16","Guatemala",2,1,5,"15-19",1,1,"Rojo","1983","Colisión",NA,NA,NA,NA
18,2,2009,3,"15","Solola",1,1,5,"15-19",1,1,"Verde","1995","Colisión",NA,NA,NA,NA
13,11,2009,5,"3","Guatemala",2,1,5,"15-19",1,1,"Blanco","2007","Empotro",NA,NA,NA,NA
18,4,2009,6,"16","Peten",2,1,5,"15-19",1,1,"Café","Ignorado","Empotro",NA,NA,NA,NA
3,1,2009,6,"16","Chiquimula",1,1,5,"15-19",1,2,"Azul","1989","Vuelco",NA,NA,NA,NA
22,12,2009,2,"13","Retalhuleu",2,1,5,"15-19",1,3,"Rojo","Ignorado","Colisión",NA,NA,NA,NA
24,1,2009,6,"11","Zacapa",1,1,5,"15-19",1,3,"Beige","2006","Vuelco",NA,NA,NA,NA
19,2,2009,4,"9","Peten",1,1,5,"15-19",1,4,"Azul","2007","Colisión",NA,NA,NA,NA
3,2,2009,2,"19","Retalhuleu",2,3,5,"15-19",1,4,"Ignorado","Ignorado","Colisión",NA,NA,NA,NA
5,2,2009,4,"14","Baja Verapaz",2,1,5,"15-19",1,4,"Azul","Ignorado","Colisión",NA,NA,NA,NA
16,5,2009,6,"21","Guatemala",2,1,5,"15-19",1,4,"Ignorado","Ignorado","Colisión",NA,NA,NA,NA
21,5,2009,4,"21","Escuintla",1,1,5,"15-19",1,4,"Azul","Ignorado","Colisión",NA,NA,NA,NA
30,3,2009,1,"19","Peten",1,1,5,"15-19",1,4,"Ignorado","Ignorado","Empotro",NA,NA,NA,NA
9,7,2009,4,"0","Retalhuleu",1,1,5,"15-19",1,4,"Rojo","Ignorado","Caída",NA,NA,NA,NA
8,11,2009,7,"10","Chiquimula",2,1,5,"15-19",1,9,"Blanco","2004","Colisión",NA,NA,NA,NA
21,2,2009,6,"13","Chimaltenango",1,1,6,"Menos de 15",9,1,"Azul","1996","Colisión",NA,NA,NA,NA
20,11,2009,5,"11","Guatemala",2,1,6,"Menos de 15",9,1,"Verde","Ignorado","Colisión",NA,NA,NA,NA
25,1,2009,7,"0","Guatemala",1,1,6,"Menos de 15",9,1,"Beige","Ignorado","Empotro",NA,NA,NA,NA
5,6,2009,5,"19","Guatemala",1,1,6,"Menos de 15",9,4,"Blanco","2005","Colisión",NA,NA,NA,NA
5,8,2009,3,"13","Zacapa",1,1,6,"Menos de 15",9,4,"Azul","2006","Colisión",NA,NA,NA,NA
5,8,2009,3,"13","Zacapa",1,1,6,"Menos de 15",9,4,"Azul","2006","Colisión",NA,NA,NA,NA
5,8,2009,3,"13","Zacapa",1,1,6,"Menos de 15",9,4,"Azul","2006","Colisión",NA,NA,NA,NA
21,2,2009,6,"13","Quetzaltenango",1,3,6,"Menos de 15",9,4,"Amarillo","Ignorado","Colisión",NA,NA,NA,NA
27,2,2009,5,"6","Guatemala",2,1,6,"Menos de 15",9,4,"Negro","Ignorado","Colisión",NA,NA,NA,NA
13,4,2009,1,"20","El Progreso",1,1,6,"Menos de 15",9,4,"Ignorado","Ignorado","Colisión",NA,NA,NA,NA
6,10,2009,2,"21","Escuintla",1,1,6,"Menos de 15",9,4,"Negro","Ignorado","Colisión",NA,NA,NA,NA
24,10,2009,6,"21","Escuintla",1,1,6,"Menos de 15",9,4,"Ignorado","Ignorado","Colisión",NA,NA,NA,NA
27,10,2009,2,"20","Suchitepequez",2,1,6,"Menos de 15",9,4,"Negro","Ignorado","Colisión",NA,NA,NA,NA
6,12,2009,7,"5","Guatemala",1,1,6,"Menos de 15",9,4,"Azul","Ignorado","Colisión",NA,NA,NA,NA
15,3,2009,7,"22","Escuintla",2,1,6,"Menos de 15",9,4,"Rojo","Ignorado","Empotro",NA,NA,NA,NA
28,3,2009,6,"16","Izabal",1,1,6,"Menos de 15",9,4,"Negro","1999","Caída",NA,NA,NA,NA
7,9,2009,1,"7","Chimaltenango",1,1,6,"Menos de 15",9,4,"Ignorado","Ignorado","Caída",NA,NA,NA,NA
21,10,2009,3,"15","Suchitepequez",2,3,6,"Menos de 15",9,4,"Ignorado","Ignorado","Caída",NA,NA,NA,NA
23,10,2009,5,"18","Peten",2,3,6,"Menos de 15",9,4,"Gris","Ignorado","Caída",NA,NA,NA,NA
1,5,2009,5,"18","Alta Verpaz",1,1,6,"Menos de 15",9,5,"Blanco","Ignorado","Caída",NA,NA,NA,NA
5,9,2009,6,"13","Guatemala",1,1,6,"Menos de 15",9,9,"Azul","Ignorado","Empotro",NA,NA,NA,NA
11,1,2009,7,"18","San Marcos",1,1,6,"Menos de 15",9,14,"Rojo","2007","Vuelco",NA,NA,NA,NA
26,10,2009,1,"13","Guatemala",2,1,6,"Menos de 15",9,14,"Rojo","Ignorado","Vuelco",NA,NA,NA,NA
17,3,2009,2,"14","Izabal",2,3,6,"Menos de 15",9,99,"Ignorado","Ignorado","Empotro",NA,NA,NA,NA
7,2,2009,6,"20","Totonicapan",2,1,6,"Menos de 15",2,1,"Café","1993","Colisión",NA,NA,NA,NA
7,2,2009,6,"15","Alta Verpaz",1,1,6,"Menos de 15",2,1,"Café","1993","Colisión",NA,NA,NA,NA
4,3,2009,3,"23","Guatemala",2,1,6,"Menos de 15",2,1,"Gris","2009","Colisión",NA,NA,NA,NA
8,8,2009,6,"22","Suchitepequez",1,1,6,"Menos de 15",2,1,"Gris","Ignorado","Colisión",NA,NA,NA,NA
15,9,2009,2,"13","Zacapa",1,1,6,"Menos de 15",2,1,"Ignorado","Ignorado","Colisión",NA,NA,NA,NA
17,11,2009,2,"23","Quetzaltenango",2,1,6,"Menos de 15",2,3,"Corinto","1996","Colisión",NA,NA,NA,NA
5,6,2009,5,"0","Chimaltenango",1,1,6,"Menos de 15",2,3,"Verde","1998","Colisión",NA,NA,NA,NA
9,10,2009,5,"8","Guatemala",2,1,6,"Menos de 15",2,3,"Corinto","1998","Colisión",NA,NA,NA,NA
15,2,2009,7,"22","Huehuetenango",1,1,6,"Menos de 15",2,3,"Ignorado","Ignorado","Colisión",NA,NA,NA,NA
18,7,2009,6,"20","Quetzaltenango",1,1,6,"Menos de 15",2,3,"Azul","Ignorado","Colisión",NA,NA,NA,NA
13,1,2009,2,"23","Quetzaltenango",2,1,6,"Menos de 15",2,4,"Rojo","2008","Colisión",NA,NA,NA,NA
24,8,2009,1,"21","Huehuetenango",2,1,6,"Menos de 15",2,4,"Blanco","Ignorado","Colisión",NA,NA,NA,NA
2,11,2009,1,"23","San Marcos",1,1,6,"Menos de 15",2,4,"Rojo","Ignorado","Empotro",NA,NA,NA,NA
12,9,2009,6,"21","Chimaltenango",1,1,6,"Menos de 15",2,4,"Corinto","2008","Caída",NA,NA,NA,NA
13,7,2009,1,"22","Quetzaltenango",2,1,6,"Menos de 15",2,4,"Negro","Ignorado","Caída",NA,NA,NA,NA
19,11,2009,4,"19","Guatemala",2,1,6,"Menos de 15",2,4,"Negro","Ignorado","Caída",NA,NA,NA,NA
1,5,2009,5,"0","El Progreso",1,1,6,"Menos de 15",2,5,"Blanco","2008","Colisión",NA,NA,NA,NA
7,7,2009,2,"14","El Progreso",1,1,6,"Menos de 15",1,1,"Negro","1988","Colisión",NA,NA,NA,NA
9,7,2009,4,"14","Guatemala",2,1,6,"Menos de 15",1,1,"Negro","1990","Colisión",NA,NA,NA,NA
6,8,2009,4,"7","San Marcos",1,1,6,"Menos de 15",1,1,"Azul","1991","Colisión",NA,NA,NA,NA
6,8,2009,4,"7","San Marcos",1,1,6,"Menos de 15",1,1,"Azul","1991","Colisión",NA,NA,NA,NA
6,8,2009,4,"7","San Marcos",1,1,6,"Menos de 15",1,1,"Azul","1991","Colisión",NA,NA,NA,NA
28,8,2009,5,"12","Escuintla",2,1,6,"Menos de 15",1,1,"Café","1999","Colisión",NA,NA,NA,NA
22,5,2009,5,"18","Guatemala",2,1,6,"Menos de 15",1,1,"Gris","2000","Colisión",NA,NA,NA,NA
4,2,2009,3,"17","Guatemala",2,1,6,"Menos de 15",1,1,"Gris","2001","Colisión",NA,NA,NA,NA
21,1,2009,3,"13","Guatemala",2,3,6,"Menos de 15",1,1,"Verde","2002","Colisión",NA,NA,NA,NA
21,4,2009,2,"0","Guatemala",1,1,6,"Menos de 15",1,1,"Blanco","Ignorado","Colisión",NA,NA,NA,NA
7,11,2009,6,"22","Alta Verpaz",1,1,6,"Menos de 15",1,1,"Verde","1991","Empotro",NA,NA,NA,NA
28,8,2009,5,"2","Guatemala",2,1,6,"Menos de 15",1,1,"Blanco","2008","Empotro",NA,NA,NA,NA
7,3,2009,6,"22","Quetzaltenango",1,1,6,"Menos de 15",1,1,"Ignorado","Ignorado","Empotro",NA,NA,NA,NA
27,12,2009,7,"17","Chiquimula",1,1,6,"Menos de 15",1,2,"Negro","1996","Colisión",NA,NA,NA,NA
13,12,2009,7,"9","San Marcos",1,3,6,"Menos de 15",1,3,"Negro","Ignorado","Ignorado",NA,NA,NA,NA
23,3,2009,1,"5","Alta Verpaz",1,1,6,"Menos de 15",1,3,"Blanco","1985","Colisión",NA,NA,NA,NA
23,10,2009,5,"11","Suchitepequez",2,1,6,"Menos de 15",1,3,"Negro","1990","Colisión",NA,NA,NA,NA
29,10,2009,4,"15","Santa Rosa",1,1,6,"Menos de 15",1,3,"Negro","1991","Colisión",NA,NA,NA,NA
12,8,2009,3,"19","Quetzaltenango",1,1,6,"Menos de 15",1,3,"Gris","1994","Colisión",NA,NA,NA,NA
27,7,2009,1,"17","Huehuetenango",1,1,6,"Menos de 15",1,3,"Verde","1996","Colisión",NA,NA,NA,NA
13,6,2009,6,"18","Retalhuleu",2,1,6,"Menos de 15",1,3,"Rojo","2003","Colisión",NA,NA,NA,NA
7,3,2009,6,"19","Baja Verapaz",1,1,6,"Menos de 15",1,3,"Ignorado","Ignorado","Colisión",NA,NA,NA,NA
25,8,2009,2,"0","Alta Verpaz",1,1,6,"Menos de 15",1,3,"Rojo","1986","Caída",NA,NA,NA,NA
21,2,2009,6,"15","Escuintla",2,1,6,"Menos de 15",1,4,"Rojo","1984","Colisión",NA,NA,NA,NA
14,1,2009,3,"12","Retalhuleu",1,3,6,"Menos de 15",1,4,"Anaranjado","2003","Colisión",NA,NA,NA,NA
9,10,2009,5,"14","Quiche",1,1,6,"Menos de 15",1,4,"Azul","2007","Colisión",NA,NA,NA,NA
17,11,2009,2,"21","Alta Verpaz",2,1,6,"Menos de 15",1,4,"Rojo","2007","Colisión",NA,NA,NA,NA
10,2,2009,2,"18","Sacatepequez",2,1,6,"Menos de 15",1,4,"Gris","2008","Colisión",NA,NA,NA,NA
17,1,2009,6,"15","Suchitepequez",2,1,6,"Menos de 15",1,4,"Azul","Ignorado","Colisión",NA,NA,NA,NA
24,3,2009,2,"10","Escuintla",2,1,6,"Menos de 15",1,4,"Morado","Ignorado","Colisión",NA,NA,NA,NA
17,5,2009,7,"15","Jalapa",2,1,6,"Menos de 15",1,4,"Rojo","Ignorado","Colisión",NA,NA,NA,NA
29,10,2009,4,"13","Zacapa",1,1,6,"Menos de 15",1,4,"Azul","Ignorado","Colisión",NA,NA,NA,NA
12,12,2009,6,"8","Chimaltenango",1,1,6,"Menos de 15",1,4,"Negro","Ignorado","Colisión",NA,NA,NA,NA
4,8,2009,2,"14","Quiche",1,1,6,"Menos de 15",1,4,"Azul","2009","Empotro",NA,NA,NA,NA
4,8,2009,2,"14","Quiche",1,1,6,"Menos de 15",1,4,"Azul","2009","Empotro",NA,NA,NA,NA
4,8,2009,2,"14","Quiche",1,1,6,"Menos de 15",1,4,"Azul","2009","Empotro",NA,NA,NA,NA
4,1,2009,7,"19","Chimaltenango",1,1,6,"Menos de 15",1,4,"Blanco","Ignorado","Empotro",NA,NA,NA,NA
8,3,2009,7,"16","Guatemala",2,1,6,"Menos de 15",1,4,"Negro","Ignorado","Empotro",NA,NA,NA,NA
13,3,2009,5,"9","Chiquimula",1,1,6,"Menos de 15",1,9,"Azul","1997","Colisión",NA,NA,NA,NA
12,7,2009,7,"14","Quiche",1,1,6,"Menos de 15",1,9,"Blanco","Ignorado","Empotro",NA,NA,NA,NA
1,6,2009,3,"8","Guatemala",2,1,6,"Menos de 15",1,12,"Rojo","Ignorado","Colisión",NA,NA,NA,NA
1,2,2009,7,"18","Santa Rosa",1,1,6,"Menos de 15",1,14,"Ignorado","Ignorado","Colisión",NA,NA,NA,NA
3,11,2009,2,"12","Jutiapa",1,1,6,"Menos de 15",1,14,"Rojo","Ignorado","Vuelco",NA,NA,NA,NA
21,2,2009,6,"0","Guatemala",2,1,7,"Menos de 15",9,1,"Blanco","1967","Colisión",NA,NA,NA,NA
17,6,2009,3,"13","Peten",1,1,7,"Menos de 15",9,1,"Blanco","1995","Colisión",NA,NA,NA,NA
31,12,2009,4,"20","Sacatepequez",1,1,7,"Menos de 15",9,1,"Azul","1996","Colisión",NA,NA,NA,NA
4,5,2009,1,"17","Guatemala",2,1,7,"Menos de 15",9,1,"Blanco","2003","Colisión",NA,NA,NA,NA
11,12,2009,5,"0","Quetzaltenango",1,1,7,"Menos de 15",9,1,"Blanco","Ignorado","Colisión",NA,NA,NA,NA
4,7,2009,6,"1","Guatemala",2,1,7,"Menos de 15",9,1,"Blanco","Ignorado","Empotro",NA,NA,NA,NA
29,7,2009,3,"3","Guatemala",2,1,7,"Menos de 15",9,1,"Azul","1988","Vuelco",NA,NA,NA,NA
22,11,2009,7,"11","Guatemala",1,1,7,"Menos de 15",9,1,"Gris","2003","Caída",NA,NA,NA,NA
27,12,2009,7,"16","Guatemala",2,1,7,"Menos de 15",9,2,"Corinto","Ignorado","Colisión",NA,NA,NA,NA
2,5,2009,6,"18","Sacatepequez",1,1,7,"Menos de 15",9,3,"Blanco","1991","Colisión",NA,NA,NA,NA
14,3,2009,6,"7","Izabal",1,1,7,"Menos de 15",9,3,"Blanco","Ignorado","Colisión",NA,NA,NA,NA
27,8,2009,4,"0","Guatemala",2,1,7,"Menos de 15",9,3,"Ignorado","Ignorado","Colisión",NA,NA,NA,NA
31,10,2009,6,"16","Zacapa",1,1,7,"Menos de 15",9,3,"Rojo","2003","Caída",NA,NA,NA,NA
13,7,2009,1,"11","Huehuetenango",1,1,7,"Menos de 15",9,3,"Ignorado","Ignorado","Caída",NA,NA,NA,NA
21,3,2009,6,"15","Izabal",1,1,7,"Menos de 15",9,4,"Rojo","1981","Colisión",NA,NA,NA,NA
7,8,2009,5,"13","San Marcos",2,1,7,"Menos de 15",9,4,"Azul","1999","Colisión",NA,NA,NA,NA
25,12,2009,5,NA,"Guatemala",2,1,7,"Menos de 15",9,4,"Blanco","2006","Colisión",NA,NA,NA,NA
23,2,2009,1,"15","Guatemala",2,1,7,"Menos de 15",9,4,"Rojo","2008","Colisión",NA,NA,NA,NA
9,10,2009,5,"12","Izabal",2,1,7,"Menos de 15",9,4,"Rojo","2008","Colisión",NA,NA,NA,NA
26,2,2009,4,"20","Izabal",1,1,7,"Menos de 15",9,4,"Rojo","Ignorado","Colisión",NA,NA,NA,NA
2,4,2009,4,"9","Huehuetenango",1,1,7,"Menos de 15",9,4,"Gris","Ignorado","Colisión",NA,NA,NA,NA
11,4,2009,6,"16","Alta Verpaz",1,1,7,"Menos de 15",9,4,"Rojo","Ignorado","Colisión",NA,NA,NA,NA
9,10,2009,5,"20","Guatemala",1,1,7,"Menos de 15",9,4,"Azul","Ignorado","Colisión",NA,NA,NA,NA
4,12,2009,5,"23","Guatemala",1,1,7,"Menos de 15",9,4,"Rojo","Ignorado","Colisión",NA,NA,NA,NA
18,12,2009,5,"21","Guatemala",2,1,7,"Menos de 15",9,4,"Negro","Ignorado","Colisión",NA,NA,NA,NA
14,3,2009,6,"17","Peten",1,1,7,"Menos de 15",9,4,"Ignorado","Ignorado","Empotro",NA,NA,NA,NA
18,9,2009,5,"1","Guatemala",2,1,7,"Menos de 15",9,4,"Negro","Ignorado","Empotro",NA,NA,NA,NA
22,10,2009,4,"8","Huehuetenango",2,1,7,"Menos de 15",9,4,"Negro","Ignorado","Empotro",NA,NA,NA,NA
15,12,2009,2,"0","San Marcos",2,1,7,"Menos de 15",9,4,"Blanco","Ignorado","Empotro",NA,NA,NA,NA
9,12,2009,3,"0","Zacapa",1,1,7,"Menos de 15",9,4,"Gris","2005","Caída",NA,NA,NA,NA
25,10,2009,7,"9","Escuintla",1,1,7,"Menos de 15",9,4,"Negro","Ignorado","Caída",NA,NA,NA,NA
15,10,2009,4,"2","Quiche",1,1,7,"Menos de 15",9,5,"Blanco","Ignorado","Caída",NA,NA,NA,NA
24,3,2009,2,"17","Sacatepequez",1,1,7,"Menos de 15",9,9,"Gris","Ignorado","Colisión",NA,NA,NA,NA
14,3,2009,6,"3","Guatemala",2,1,7,"Menos de 15",2,1,"Rojo","2001","Colisión",NA,NA,NA,NA
13,6,2009,6,"20","Quetzaltenango",1,1,7,"Menos de 15",2,3,"Corinto","1990","Colisión",NA,NA,NA,NA
22,6,2009,1,"18","Solola",2,1,7,"Menos de 15",2,3,"Verde","2000","Colisión",NA,NA,NA,NA
29,9,2009,2,"0","Suchitepequez",2,1,7,"Menos de 15",2,3,"Gris","Ignorado","Colisión",NA,NA,NA,NA
23,10,2009,5,"13","Huehuetenango",1,1,7,"Menos de 15",2,3,"Verde","Ignorado","Colisión",NA,NA,NA,NA
15,2,2009,7,"18","Baja Verapaz",2,1,7,"Menos de 15",2,3,"Corinto","1991","Empotro",NA,NA,NA,NA
24,5,2009,7,"3","Suchitepequez",1,1,7,"Menos de 15",2,4,"Ignorado","2006","Colisión",NA,NA,NA,NA
10,1,2009,6,"0","Suchitepequez",1,1,7,"Menos de 15",2,4,"Rojo","2008","Colisión",NA,NA,NA,NA
9,4,2009,4,"0","Peten",1,1,7,"Menos de 15",2,4,"Negro","Ignorado","Colisión",NA,NA,NA,NA
20,6,2009,6,"1","Sacatepequez",1,1,7,"Menos de 15",2,4,"Verde","2008","Caída",NA,NA,NA,NA
20,4,2009,1,"16","Escuintla",2,1,7,"Menos de 15",2,4,"Azul","Ignorado","Caída",NA,NA,NA,NA
16,10,2009,5,"16","Solola",1,1,7,"Menos de 15",2,14,"Rojo","Ignorado","Colisión",NA,NA,NA,NA
31,1,2009,6,"2","Guatemala",2,1,7,"Menos de 15",1,1,"Verde","1994","Colisión",NA,NA,NA,NA
17,10,2009,6,"21","Guatemala",2,1,7,"Menos de 15",1,1,"Negro","1997","Colisión",NA,NA,NA,NA
20,8,2009,4,"20","Guatemala",2,1,7,"Menos de 15",1,1,"Azul","2000","Colisión",NA,NA,NA,NA
24,8,2009,1,"16","Guatemala",2,3,7,"Menos de 15",1,1,"Negro","2003","Colisión",NA,NA,NA,NA
20,7,2009,1,"1","Quetzaltenango",2,1,7,"Menos de 15",1,1,"Azul","2005","Colisión",NA,NA,NA,NA
8,2,2009,7,"10","Guatemala",2,1,7,"Menos de 15",1,1,"Ignorado","Ignorado","Colisión",NA,NA,NA,NA
3,6,2009,3,"22","Guatemala",2,1,7,"Menos de 15",1,1,"Rojo","Ignorado","Colisión",NA,NA,NA,NA
30,7,2009,4,"3","Guatemala",2,1,7,"Menos de 15",1,1,"Verde","1995","Empotro",NA,NA,NA,NA
11,2,2009,3,"5","Guatemala",2,3,7,"Menos de 15",1,1,"Rojo","Ignorado","Empotro",NA,NA,NA,NA
24,5,2009,7,"21","Guatemala",2,1,7,"Menos de 15",1,1,"Rojo","Ignorado","Empotro",NA,NA,NA,NA
30,12,2009,3,"0","Guatemala",2,1,7,"Menos de 15",1,2,"Negro","1999","Colisión",NA,NA,NA,NA
30,1,2009,5,"21","Quetzaltenango",1,3,7,"Menos de 15",1,2,"Blanco","2000","Caída",NA,NA,NA,NA
3,2,2009,2,"6","Totonicapan",2,1,7,"Menos de 15",1,3,"Azul","1985","Colisión",NA,NA,NA,NA
22,1,2009,4,"6","Chimaltenango",1,3,7,"Menos de 15",1,3,"Negro","1988","Colisión",NA,NA,NA,NA
19,3,2009,4,"15","Peten",1,1,7,"Menos de 15",1,3,"Gris","1989","Colisión",NA,NA,NA,NA
8,8,2009,6,"17","Guatemala",2,1,7,"Menos de 15",1,3,"Azul","1989","Colisión",NA,NA,NA,NA
20,12,2009,7,"15","Guatemala",1,1,7,"Menos de 15",1,3,"Corinto","2000","Colisión",NA,NA,NA,NA
18,2,2009,3,"19","Guatemala",2,1,7,"Menos de 15",1,3,"Negro","2007","Colisión",NA,NA,NA,NA
30,4,2009,4,"23","El Progreso",1,1,7,"Menos de 15",1,3,"Negro","2008","Colisión",NA,NA,NA,NA
25,6,2009,4,"20","Guatemala",2,1,7,"Menos de 15",1,3,"Negro","2009","Colisión",NA,NA,NA,NA
24,4,2009,5,"9","Guatemala",2,1,7,"Menos de 15",1,3,"Ignorado","Ignorado","Colisión",NA,NA,NA,NA
2,7,2009,4,"23","Quetzaltenango",2,1,7,"Menos de 15",1,3,"Rojo","Ignorado","Colisión",NA,NA,NA,NA
15,9,2009,2,"16","Suchitepequez",1,1,7,"Menos de 15",1,3,"Café","1985","Empotro",NA,NA,NA,NA
9,8,2009,7,"21","Alta Verpaz",1,1,7,"Menos de 15",1,3,"Ignorado","Ignorado","Vuelco",NA,NA,NA,NA
8,12,2009,2,"11","Quiche",1,1,7,"Menos de 15",1,3,"Azul","Ignorado","Vuelco",NA,NA,NA,NA
24,1,2009,6,"13","Quetzaltenango",2,1,7,"Menos de 15",1,4,"Negro","2000","Colisión",NA,NA,NA,NA
7,3,2009,6,"0","Quetzaltenango",2,1,7,"Menos de 15",1,4,"Rojo","2008","Colisión",NA,NA,NA,NA
15,6,2009,1,"17","Guatemala",2,1,7,"Menos de 15",1,4,"Negro","2009","Colisión",NA,NA,NA,NA
16,1,2009,5,"8","Solola",1,1,7,"Menos de 15",1,4,"Ignorado","Ignorado","Colisión",NA,NA,NA,NA
18,1,2009,7,"1","Escuintla",1,1,7,"Menos de 15",1,4,"Ignorado","Ignorado","Colisión",NA,NA,NA,NA
10,9,2009,4,"21","Huehuetenango",2,1,7,"Menos de 15",1,4,"Ignorado","Ignorado","Colisión",NA,NA,NA,NA
3,12,2009,4,"10","Guatemala",2,1,7,"Menos de 15",1,4,"Negro","Ignorado","Colisión",NA,NA,NA,NA
